Industry,Pct_Week,Pct_YTD,Sector,Color,Composite
Recreational Products,6.23,17.15,Consumer Goods,darkorange,23.38
Defense,5.57,17.1,Industrials,slateblue,22.67
Mining,5.92,16.1,Basic Materials,royalblue,22.020000000000003
Durable Hshld Pdts,5.08,16.0,Consumer Goods,darkorange,21.08
Gold Mining,5.67,15.25,Basic Materials,royalblue,20.92
Heavy Construction,7.83,12.65,Industrials,slateblue,20.48
Oil Equipment & Svcs,3.03,17.43,Oil & Gas,goldenrod,20.46
Nonferrous Metals,3.86,15.59,Basic Materials,royalblue,19.45
Electronic Equipment,8.07,10.56,Industrials,slateblue,18.630000000000003
Basic Resources,4.72,13.41,Basic Materials,royalblue,18.13
Aerospace & Defense,4.57,12.11,Industrials,slateblue,16.68
Commercial Vehicles,4.36,12.09,Industrials,slateblue,16.45
Distillers & Vintners,5.47,10.63,Consumer Goods,darkorange,16.1
Industrial Suppliers,2.9,13.02,Industrials,slateblue,15.92
Electronic & Electrical Equip,6.62,8.43,Industrials,slateblue,15.05
Tobacco,6.93,7.93,Consumer Goods,darkorange,14.86
Diversified REITs,5.65,9.17,Financials,firebrick,14.82
Home Improvement Retailers,2.31,12.29,Consumer Services,mediumseagreen,14.6
Marine Transportation,0.33,14.25,Industrials,slateblue,14.58
Industrial Metals & Mining,3.66,10.78,Basic Materials,royalblue,14.44
Aerospace,4.16,10.19,Industrials,slateblue,14.35
Industrial Engineering,3.58,9.99,Industrials,slateblue,13.57
Diversified Industrials,4.09,9.34,Industrials,slateblue,13.43
Electrical Comps & Equip,5.93,7.43,Industrials,slateblue,13.36
Mortgage REITs,3.74,8.6,Financials,firebrick,12.34
Food Retailers & Wholesalers,6.49,5.82,Consumer Services,mediumseagreen,12.31
Steel,5.14,6.57,Basic Materials,royalblue,11.71
Integrated Oil & Gas,3.48,8.19,Oil & Gas,goldenrod,11.67
Industrial Goods & Svcs,3.14,8.3,Industrials,slateblue,11.440000000000001
Food & Drug Retailers,6.14,5.18,Consumer Services,mediumseagreen,11.32
"Oil Equip, Svcs & Distri",3.24,7.82,Oil & Gas,goldenrod,11.06
Industrial Machinery,2.68,7.63,Industrials,slateblue,10.31
Specialty REITs,4.6,5.69,Financials,firebrick,10.29
Home Construction,-0.03,10.19,Consumer Goods,darkorange,10.16
Drug Retailers,5.68,4.34,Consumer Services,mediumseagreen,10.02
General Industrials,2.17,7.69,Industrials,slateblue,9.86
Trucking,0.14,9.35,Industrials,slateblue,9.49
Specialty Chemicals,1.87,7.43,Basic Materials,royalblue,9.3
Oil & Gas Producers,2.32,6.31,Oil & Gas,goldenrod,8.629999999999999
Real Estate Inv Trusts,3.67,4.68,Financials,firebrick,8.35
Asset Managers,2.19,6.11,Financials,firebrick,8.3
Real Estate,3.75,4.55,Financials,firebrick,8.3
Construction & Materials,1.67,6.36,Industrials,slateblue,8.030000000000001
Furnishings,1.01,6.94,Consumer Goods,darkorange,7.95
Real Estate Services,4.71,3.08,Financials,firebrick,7.79
Real Estate Investmt & Svcs,4.71,3.08,Financials,firebrick,7.79
Investment Services,2.18,5.56,Financials,firebrick,7.74
Multiutilities,3.95,3.61,Utilities,teal,7.5600000000000005
Food Producers,2.89,4.65,Consumer Goods,darkorange,7.540000000000001
General Retailers,2.91,4.48,Consumer Goods,darkorange,7.390000000000001
Aluminum,-5.65,13.04,Basic Materials,royalblue,7.389999999999999
Chemicals,0.9,6.45,Basic Materials,royalblue,7.3500000000000005
Delivery Svcs,-0.38,7.69,Industrials,slateblue,7.3100000000000005
Computer Services,4.48,2.53,Technology,dodgerblue,7.01
Personal Products,1.74,5.06,Consumer Goods,darkorange,6.8
Leisure Goods,4.69,2.1,Consumer Goods,darkorange,6.790000000000001
Water,4.11,2.66,Utilities,teal,6.7700000000000005
Retail REITs,2.85,3.9,Financials,firebrick,6.75
Business Support Svcs,0.72,5.91,Industrials,slateblue,6.63
Brewers,1.7,4.86,Consumer Goods,darkorange,6.5600000000000005
Industrial & Office REITs,2.0,4.1,Financials,firebrick,6.1
Toys,4.61,1.4,Consumer Goods,darkorange,6.01
Hshld Goods & Home Constr,1.8,4.18,Consumer Goods,darkorange,5.9799999999999995
Internet,2.9,2.82,Technology,dodgerblue,5.72
Pipelines,3.38,2.3,Oil & Gas,goldenrod,5.68
Hotel & Lodging REITs,0.81,4.85,Financials,firebrick,5.66
Commodity Chemicals,0.02,5.57,Basic Materials,royalblue,5.59
Food Products,2.38,2.55,Consumer Goods,darkorange,4.93
Food & Beverage,2.1,2.69,Consumer Goods,darkorange,4.79
Gas Distribution,2.65,2.14,Utilities,teal,4.79
Containers & Packaging,-0.57,5.32,Industrials,slateblue,4.75
Hotels,-0.3,5.04,Consumer Services,mediumseagreen,4.74
Retail,-0.25,4.98,Consumer Services,mediumseagreen,4.73
Mortgage Finance,-2.67,7.35,Financials,firebrick,4.68
Medical Supplies,1.73,2.9,Health Care,purple,4.63
Industrial Transportation,0.49,4.04,Industrials,slateblue,4.53
General Retailers,-0.57,4.97,Consumer Services,mediumseagreen,4.3999999999999995
Nondurable Hshld Pdts,2.32,2.05,Consumer Goods,darkorange,4.369999999999999
Broadline Retailers,-1.02,5.31,Consumer Services,mediumseagreen,4.289999999999999
Bldg Materials & Fixtures,-0.19,4.47,Industrials,slateblue,4.279999999999999
Support Services,-0.31,4.54,Industrials,slateblue,4.23
Auto Parts,-2.1,6.18,Consumer Goods,darkorange,4.08
Exploration & Production,0.54,3.46,Oil & Gas,goldenrod,4.0
Restaurants & Bars,0.76,3.18,Consumer Services,mediumseagreen,3.9400000000000004
Apparel Retailers,-0.18,3.76,Consumer Services,mediumseagreen,3.5799999999999996
Beverages,1.74,1.82,Consumer Goods,darkorange,3.56
Semiconductor,0.57,2.74,Technology,dodgerblue,3.31
Residential REITs,2.63,0.59,Financials,firebrick,3.2199999999999998
Software & Computer Svcs,2.37,0.79,Technology,dodgerblue,3.16
Soft Drinks,1.57,1.39,Consumer Goods,darkorange,2.96
Specialized Consumer Svcs,0.39,2.25,Consumer Services,mediumseagreen,2.64
Electricity,1.26,1.27,Utilities,teal,2.5300000000000002
Conventional Electricity,1.22,1.24,Utilities,teal,2.46
Waste & Disposal Svcs,0.37,2.09,Industrials,slateblue,2.46
Publishing,-0.01,1.88,Consumer Services,mediumseagreen,1.8699999999999999
Pharmaceuticals,0.49,0.83,Health Care,purple,1.3199999999999998
Railroads,1.26,-0.24,Industrials,slateblue,1.02
Software,1.83,-0.91,Technology,dodgerblue,0.92
Airlines,-2.57,3.19,Consumer Services,mediumseagreen,0.6200000000000001
Personal Goods,-1.2,1.81,Consumer Goods,darkorange,0.6100000000000001
Financial Serv Supersector,-0.98,0.85,Financials,firebrick,-0.13
Financial Serv Sector,-0.98,0.85,Financials,firebrick,-0.13
Pharmaceuticals & Biotech,-0.62,0.39,Health Care,purple,-0.22999999999999998
Health Care Providers,-1.86,1.48,Health Care,purple,-0.3800000000000001
Technology Hardware & Equip,-0.91,0.49,Technology,dodgerblue,-0.42000000000000004
Clothing & Accessories,-2.17,0.95,Consumer Goods,darkorange,-1.22
Travel & Leisure,-2.4,0.77,Consumer Services,mediumseagreen,-1.63
Specialty Retailers,-0.9,-0.88,Consumer Services,mediumseagreen,-1.78
Biotechnology,-1.81,-0.1,Health Care,purple,-1.9100000000000001
Health Care Equip & Svcs,-2.45,0.36,Health Care,purple,-2.0900000000000003
Footwear,-2.48,0.25,Consumer Goods,darkorange,-2.23
Insurance Brokers,-1.69,-1.15,Financials,firebrick,-2.84
Specialty Finance,-1.25,-1.74,Financials,firebrick,-2.99
Financial Administration,-3.37,-0.37,Industrials,slateblue,-3.74
Automobiles & Parts,-1.95,-2.09,Consumer Goods,darkorange,-4.04
Life Insurance,-2.76,-1.4,Financials,firebrick,-4.16
Medical Equipment,-3.42,-0.78,Health Care,purple,-4.2
Automobiles,-1.94,-2.46,Consumer Goods,darkorange,-4.4
Media Agencies,-2.25,-2.39,Consumer Services,mediumseagreen,-4.640000000000001
Travel & Tourism,-3.98,-0.72,Consumer Services,mediumseagreen,-4.7
Telecom Equipment,-2.86,-2.24,Technology,dodgerblue,-5.1
Banks,-3.97,-1.31,Financials,firebrick,-5.28
Media,-2.97,-2.54,Consumer Services,mediumseagreen,-5.51
Broadcast & Entertainment,-3.24,-2.8,Consumer Services,mediumseagreen,-6.04
Fixed Line Telecom,-1.93,-5.1,Telecommunications,chocolate,-7.029999999999999
Computer Hardware,-3.57,-3.5,Technology,dodgerblue,-7.07
Insurance,-3.1,-4.32,Financials,firebrick,-7.42
Reinsurance,-2.98,-4.8,Financials,firebrick,-7.779999999999999
Business Training,-3.63,-4.23,Industrials,slateblue,-7.86
Nonlife Insurance,-3.17,-4.88,Financials,firebrick,-8.05
Consumer Finance,-5.46,-4.62,Financials,firebrick,-10.08
Property & Casualty,-3.84,-6.5,Financials,firebrick,-10.34
Mobile Telecom,-5.01,-5.83,Telecommunications,chocolate,-10.84
Recreational Services,-9.21,-2.54,Consumer Services,mediumseagreen,-11.75
Gambling,-5.83,-7.6,Consumer Services,mediumseagreen,-13.43
